timestamp,token_id,prices,market_caps,total_volumes
2021-10-27,token-engineering-commons,0.00018061,0.0,0.0
2021-10-28,token-engineering-commons,0.00019016,0.0,0.0
2021-10-29,token-engineering-commons,0.0001749,0.0,0.0
2021-10-30,token-engineering-commons,0.00016957,0.0,0.0
2021-10-31,token-engineering-commons,0.00017343,0.0,0.0
2021-11-01,token-engineering-commons,0.00017474,0.0,0.0
2021-11-02,token-engineering-commons,0.00017319,0.0,0.0
2021-11-03,token-engineering-commons,0.00016316,0.0,0.0
2021-11-04,token-engineering-commons,0.00016277,0.0,0.0
2021-11-05,token-engineering-commons,0.00016483,0.0,0.0
2021-11-06,token-engineering-commons,0.00016686,0.0,0.0
2021-11-07,token-engineering-commons,0.00016567,0.0,0.0
2021-11-08,token-engineering-commons,0.00016211,0.0,0.0
2021-11-09,token-engineering-commons,0.00015576,0.0,0.0
2021-11-10,token-engineering-commons,0.00015816,0.0,0.0
2021-11-11,token-engineering-commons,0.00016158,0.0,0.0
2021-11-12,token-engineering-commons,0.00015846,0.0,0.0
2021-11-13,token-engineering-commons,0.00016008,0.0,0.0
2021-11-14,token-engineering-commons,0.00016072,0.0,0.0
2021-11-15,token-engineering-commons,0.00016119,0.0,0.0
2021-11-16,token-engineering-commons,0.00016364,0.0,0.0
2021-11-17,token-engineering-commons,0.00017675,0.0,0.0
2021-11-18,token-engineering-commons,0.0001743,0.0,0.0
2021-11-19,token-engineering-commons,0.00018779,0.0,0.0
2021-11-20,token-engineering-commons,0.00017371,0.0,0.0
2021-11-21,token-engineering-commons,0.00016906,0.0,0.0
2021-11-22,token-engineering-commons,0.00017364,0.0,0.0
2021-11-23,token-engineering-commons,0.00018288,0.0,0.0
2021-11-24,token-engineering-commons,0.0001722,0.0,0.0
2021-11-25,token-engineering-commons,0.00017567,0.0,0.0
2021-11-26,token-engineering-commons,0.00016608,0.0,0.0
2021-11-27,token-engineering-commons,0.00018526,0.0,0.0
2021-11-28,token-engineering-commons,0.00018364,0.0,0.0
