"Date (00:00 UTC,Coingecko)",Relative to the ETH Price at Launch,ETH price,TEC price (USD),Market Cap (USD),Token Supply (TEC),TEC price (ETH),Notes
10/1/2021,78.34%,"$3,013.49",$0.75,"$1,494,553",-,0.00024888,
10/2/2021,71.43%,"$3,305.11",$0.75,"$1,494,553",-,0.00022692,
10/3/2021,69.56%,"$3,393.92",$0.75,"$1,494,553",-,0.00022098,
10/4/2021,68.90%,"$3,426.39",$0.75,"$1,494,553",-,0.00021889,
10/5/2021,69.64%,"$3,390.31",$0.75,"$1,494,553",-,0.00022122,
10/6/2021,67.06%,"$3,520.34",$0.75,"$1,494,553",-,0.00021305,
10/7/2021,65.72%,"$3,592.18",$0.75,"$1,494,553",-,0.00020879,
10/8/2021,65.67%,"$3,594.92",$0.75,"$1,494,553",-,0.00020863,
10/9/2021,66.34%,"$3,558.55",$0.75,"$1,494,553",-,0.00021076,
10/10/2021,65.80%,"$3,588.08",$0.75,"$1,494,553",-,0.00020903,
10/11/2021,68.81%,"$3,431.02",$0.75,"$1,494,553",-,0.00021859,
10/12/2021,66.73%,"$3,537.84",$0.75,"$1,494,553",-,0.00021199,
10/13/2021,67.49%,"$3,498.11",$0.75,"$1,494,553",-,0.00021440,
10/14/2021,65.48%,"$3,605.65",$0.75,"$1,494,553",-,0.00020801,
10/15/2021,62.22%,"$3,794.52",$0.75,"$1,494,553",-,0.00019765,
10/16/2021,60.76%,"$3,885.64",$0.75,"$1,494,553",-,0.00019302,
10/17/2021,61.25%,"$3,854.50",$0.75,"$1,494,553",-,0.00019458,
10/18/2021,61.25%,"$3,854.22",$0.75,"$1,494,553",-,0.00019459,
10/19/2021,62.91%,"$3,752.62",$0.75,"$1,494,553",-,0.00019986,
10/20/2021,60.78%,"$3,884.59",$0.75,"$1,494,553",-,0.00019307,
10/21/2021,56.61%,"$4,170.11",$0.75,"$1,494,553",-,0.00017985,
10/22/2021,57.94%,"$4,074.86",$0.75,"$1,494,553",-,0.00018406,
10/23/2021,59.16%,"$3,990.71",$0.75,"$1,494,553",-,0.00018794,
10/24/2021,56.49%,"$4,179.44",$0.75,"$1,494,553",-,0.00017945,
10/25/2021,57.65%,"$4,094.94",$0.75,"$1,494,553",-,0.00018315,
10/26/2021,55.81%,"$4,230.21",$0.75,"$1,494,553",-,0.00017730,
10/27/2021,56.85%,"$4,152.57",$0.75,"$1,494,553",-,0.00018061,
10/28/2021,59.86%,"$3,944.09",$0.75,"$1,494,553",-,0.00019016,
10/29/2021,55.06%,"$4,288.10",$0.75,"$1,494,553",-,0.00017490,
10/30/2021,53.38%,"$4,422.94",$0.75,"$1,494,553",-,0.00016957,
10/31/2021,54.59%,"$4,324.61",$0.75,"$1,494,553",-,0.00017343,
11/1/2021,55.01%,"$4,292.04",$0.75,"$1,494,553",-,0.00017474,
11/2/2021,54.52%,"$4,330.55",$0.75,"$1,494,553",-,0.00017319,
11/3/2021,51.36%,"$4,596.59",$0.75,"$1,494,553",-,0.00016316,
11/4/2021,51.24%,"$4,607.70",$0.75,"$1,494,553",-,0.00016277,
11/5/2021,51.89%,"$4,550.01",$0.75,"$1,494,553",-,0.00016483,
11/6/2021,52.52%,"$4,494.80",$0.75,"$1,494,553",-,0.00016686,
