prices,market_caps,total_volumes,timestamp,token_id,normalized_prices
0.00011465303176091157,0.0,77.75976579415943,2022-01-23,bright-token,1.0
0.00011304897705908362,0.0,77.12819518538484,2022-01-24,bright-token,0.986009487257407
0.00012099257710577998,0.0,52.1108670636447,2022-01-25,bright-token,1.0552933075340598
0.00011752680620751664,0.0,73.63819827955211,2022-01-26,bright-token,1.0250649669046503
0.0001210023178875562,0.0,107.82714686160087,2022-01-27,bright-token,1.0553782663147095
0.00011846286967614927,0.0,76.40457077530678,2022-01-28,bright-token,1.0332292819188806
0.00011792225683881167,0.0,76.81462680227938,2022-01-29,bright-token,1.0285140744007317
0.00011526566242362304,0.0,74.00830865950377,2022-01-30,bright-token,1.0053433446399307
0.00011562599530200197,0.0,65.8886435814445,2022-01-31,bright-token,1.0084861562415492
0.00011636435738561437,0.0,73.75753998390128,2022-02-01,bright-token,1.0149261262298888
0.00011443713457875596,0.0,79.31537579531111,2022-02-02,bright-token,0.9981169518255233
0.0001161538667099048,0.0,77.1173142119916,2022-02-03,bright-token,1.0130902334281309
0.0001127920009007469,0.0,74.83138788759076,2022-02-04,bright-token,0.9837681495937629
0.00010810179760496425,0.0,73.6524358379459,2022-02-05,bright-token,0.9428603495666059
0.00011012407071271944,0.0,71.35979055259959,2022-02-06,bright-token,0.9604985495923347
0.00010815825093753632,0.0,69.21427734245921,2022-02-07,bright-token,0.9433527336902966
0.00010911092839786269,0.0,74.96509982418901,2022-02-08,bright-token,0.951661955397691
0.00010861606493676125,0.0,85.6581004343744,2022-02-09,bright-token,0.9473457724455178
0.00010575735903222344,0.0,73.77681714774909,2022-02-10,bright-token,0.9224122328728431
0.00010555433775965248,0.0,73.85018813507665,2022-02-11,bright-token,0.9206414879614104
0.00010267139154936724,0.0,57.668560767796976,2022-02-12,bright-token,0.8954965252333675
0.00010044226905639434,0.0,68.81122956276023,2022-02-13,bright-token,0.8760541916226756
9.982682821885293e-05,0.0,69.82497735048513,2022-02-14,bright-token,0.8706863367296206
0.0001016891177457517,0.0,60.62648539322085,2022-02-15,bright-token,0.8869291651860215
0.0001004021380212669,0.0,67.35035342107989,2022-02-16,bright-token,0.8757041700444315
0.00010282696660254175,0.0,66.97858611596776,2022-02-17,bright-token,0.8968534457681767
9.992309211198552e-05,0.0,66.44170206060052,2022-02-18,bright-token,0.871525947262845
0.00010070439387047839,0.0,70.32700887434338,2022-02-19,bright-token,0.8783404356936625
9.734541149480615e-05,0.0,62.00938417815488,2022-02-20,bright-token,0.8490435010720224
9.975385485387793e-05,0.0,74.38218175080578,2022-02-21,bright-token,0.8700498654226326
9.895668684562101e-05,0.0,65.50969506274285,2022-02-22,bright-token,0.8630969920793504
9.626617032080423e-05,0.0,56.38590439816032,2022-02-23,bright-token,0.8396303947858104
9.812531586671682e-05,0.0,61.048193391576625,2022-02-24,bright-token,0.8558458015426896
9.839424208631445e-05,0.0,67.30080615028774,2022-02-25,bright-token,0.8581913672505239
9.704609366425468e-05,0.0,58.53736623797346,2022-02-26,bright-token,0.8464328607256281
9.855460643731056e-05,0.0,65.6231385651502,2022-02-27,bright-token,0.8595900598845794
9.604481407745428e-05,0.0,64.67101949014813,2022-02-28,bright-token,0.8376997328578157
9.571599948300362e-05,0.0,60.24610798286776,2022-03-01,bright-token,0.8348318226996583
9.692553726833205e-05,0.0,52.289745228424685,2022-03-02,bright-token,0.8453813717761337
0.00010122312266060741,0.0,64.70050448702797,2022-03-03,bright-token,0.8828647712664952
0.00010172992218496523,0.0,61.20858775664614,2022-03-04,bright-token,0.8872850601727202
0.00010147924016940686,0.0,60.81881082657144,2022-03-05,bright-token,0.8850986198169072
0.00010100164666819511,0.0,63.099136732212806,2022-03-06,bright-token,0.8809330648910882
0.00010286872753265874,0.0,64.44528946302646,2022-03-07,bright-token,0.8972176832373095
0.00010332726042545027,0.0,62.24104510463659,2022-03-08,bright-token,0.9012169921587493
0.00010153461057408353,0.0,68.67465748179126,2022-03-09,bright-token,0.8855815586788479
0.0001009855605498308,0.0,66.33910984480765,2022-03-10,bright-token,0.88079276229187
9.96184417240014e-05,0.0,61.73934828531087,2022-03-11,bright-token,0.8688687965246125
0.00010048577825079874,0.0,56.86571771164017,2022-03-12,bright-token,0.8764336773958484
0.0001025447419055164,0.0,63.61123453893463,2022-03-13,bright-token,0.8943918911743665
9.938024973756471e-05,0.0,59.65459555931077,2022-03-14,bright-token,0.866791293795043
0.0001058937805388078,0.0,105.59557761819676,2022-03-15,bright-token,0.923602096799589
0.00010762746021211031,0.0,30.23964339013462,2022-03-16,bright-token,0.9387231943115832
0.00010513692622047543,0.0,6.246476781251507,2022-03-17,bright-token,0.9170008381437285
0.0001068038068856643,0.0,4.05714398931692,2022-03-18,bright-token,0.9315393168877084
0.00010513454581124421,0.0,4.7947756496193765,2022-03-19,bright-token,0.9169800762921257
0.0001074562796319757,0.0,8.112809461797164,2022-03-20,bright-token,0.9372301628800936
0.00010714963843590912,0.0,6.2629589569870365,2022-03-21,bright-token,0.9345556483787586
0.0001075472591818218,0.0,12.331308824236688,2022-03-22,bright-token,0.9380236835436887
0.0001079762028530018,0.0,7.4755315575332215,2022-03-23,bright-token,0.9417649162402167
0.00010679866187078092,0.0,44.5960706109704,2022-03-24,bright-token,0.9314944422358623
0.00010469869566499691,0.0,121.27596870777997,2022-03-25,bright-token,0.9131786055455329
0.00010122797052934664,0.0,82.24535819766666,2022-03-26,bright-token,0.882907054219373
0.00010383480401643683,0.0,91.83846552043697,2022-03-27,bright-token,0.905643770789819
